1400,"Upper lip, NOS"
1401,"Lower lip, NOS"
1403,Mucosa of upper lip
1404,Mucosa of lower lip
1405,"Mucosa of lip, NOS"
1406,Commissure of lip
1408,Overlapping lesion of lip
1409,"Lip, NOS"
1410,"Base of tongue, NOS"
1411,"Dorsal surface of tongue, NOS"
1412,Border of tongue
1413,"Ventral surface of tongue, NOS"
1414,"Anterior 2/3 of tongue, NOS"
1415,Junctional zone of tongue
1416,Lingual tonsil
1418,Overlapping lesion of tongue
1419,"Tongue, NOS"
1420,Parotid gland
1421,Submandibular gland
1422,Sublingual gland
1428,Overlapping lesion of major salivary
1429,"Marjor savlivary gland, NOS"
1430,Upper gum
1431,Lower gum
1438,Overlapping lesion of gum
1439,"Gum, NOS"
1440,Anterior floor of mouth
1441,Lateral floor of mouth
1448,Overlapping lesion of mouth
1449,"Floor of mouth, NOS"
1450,Cheek mucosa
1451,Vestibule of mouty
1452,Hard palate
1453,"Soft palate, NOS"
1454,Uvula
1455,"Palate, NOS"
1456,Retromolar area
1458,Overlapping lesion of oth/unspec mouth
1459,Oral cavity
1460,"Tonsil, NOS"
1461,Tonsillar fossa
1462,Tonsillar pillar
1463,Vallecula epiglottis
1464,Anterior surface of epiglottis
1465,Junctional region of oropharynx
1466,Lateral wall of oropharynx
1467,Posterior wall of oropharynx
1468,Other parts of oropharynx
1469,"Oropharynx, NOS"
1470,Superior wall of nasopharynx
1471,Posterior wall of nasopharynx
1472,Lateral wall of nasopharynx
1473,Anterior wall of nasopharynx
1478,Overlapping lesion of nasopharynx
1479,"Nasopharynx, NOS"
1480,Postcricoid region
1481,Pyriform sinus
1482,"Aryepiglottic fold, NOS"
1483,Posterior wall of hypopharynx
1488,Overlapping lesion of hypopharynx
1489,"Hypopharynx, NOS"
1490,"Pharynx, NOS"
1491,"Waldeyer's ring, NOS"
1498,"Overlapping lesion of lip, oral cavity and pharynx"
1499,"Ill-defined sites in lip, oral cavity and pharynx"
1500,Cervical esophagus
1501,Thoracic esophagus
1502,Abdominal esophagus
1503,Upper third of esophagus
1504,Middle third of esophagus
1505,Lower third of esophagus
1508,Overlapping lesion of esophagus
1509,"Esophagus, NOS"
1510,"Cardia, NOS"
1511,Pylorus
1512,Pyloric antrum
1513,Fundus of stomach
1514,Body of stomach
1515,Lesser curvature of stomach
1516,"Greater curvature of stomach, NOS"
1518,Other parts of stomach
1519,"Stomach, NOS"
1520,Duodenum
1521,Jejunum
1522,Ileum
1523,Meckel's diverticulum
