8000,0,"Neoplasm, benign",preferred
8000,0,"Tumor, benign",alternate
8000,0,"Tumor, benign, unclassified",alternate
8000,0,"Tumor, unclassified, benign",alternate
8000,0,"Unclassified tumor, benign",alternate
8000,1,"Neoplasm, uncertain whether benign or malignant",preferred
8000,1,"Neoplasm, NOS",alternate
8000,1,"Tumor, NOS",alternate
8000,1,"Tumor, unclassified, borderline malignancy",alternate
8000,1,"Tumor, unclassified, uncertain whether benign or malignant",alternate
8000,1,"Unclassified tumor, borderline malignancy",alternate
8000,1,"Unclassified tumor, uncertain whether benign or malignant",alternate
8000,2,"Neoplasm, in situ",preferred
8000,3,"Neoplasm, malignant",preferred
8000,3,"Blastoma, NOS",alternate
8000,3,"Cancer [see coding guidelines, page 27 of ICD-O-3 manual]",alternate
8000,3,Malignancy,alternate
8000,3,"Tumor, malignant, NOS",alternate
8000,3,"Tumor, malignant, unclassified",alternate
8000,3,"Tumor, unclassified, malignant",alternate
8000,3,"Unclassified tumor, malignant",alternate
8000,6,"Neoplasm, metastatic",preferred
8000,6,"Embolus, tumor",alternate
8000,6,Metastatic neoplasm,alternate
8000,6,Metastatic tumor,alternate
8000,6,"Neoplasm, secondary",alternate
8000,6,Secondary neoplasm,alternate
8000,6,Secondary tumor,alternate
8000,6,Tumor embolus,alternate
8000,6,"Tumor, metastatic",alternate
8000,6,"Tumor, secondary",alternate
8000,9,"Neoplasm, malignant, uncertain whether primary or metastatic",preferred
8000,9,"Tumor, malignant, unclassified, uncertain whether primary or metastatic",alternate
8000,9,"Tumor, unclassified, malignant, uncertain whether primary or metastatic",alternate
8000,9,"Unclassified tumor, malignant, uncertain whether primary or metastatic",alternate
8001,0,"Tumor cells, benign",preferred
8001,1,"Tumor cells, uncertain whether benign or malignant",preferred
8001,1,"Tumor cells, NOS",alternate
8001,3,"Tumor cells, malignant",preferred
8002,3,"Malignant tumor, small cell type",preferred
8002,3,"Small cell type, malignant tumor",alternate
8002,3,"Tumor, malignant, small cell type",alternate
8002,3,"Tumor, small cell type, malignant",alternate
8003,3,"Malignant tumor, giant cell type",preferred
8003,3,"Giant cell type, malignant tumor",alternate
8003,3,"Tumor, giant cell type, malignant",alternate
8003,3,"Tumor, malignant, giant cell type",alternate
8004,3,"Malignant tumor, spindle cell type",preferred
8004,3,"Tumor, spindle cell type, malignant",alternate
8004,3,"Fusiform cell type, malignant tumor",alternate
8004,3,"Malignant tumor, fusiform cell type",alternate
8004,3,"Spindle cell type, malignant tumor",alternate
8004,3,"Tumor, fusiform cell type, malignant",alternate
8004,3,"Tumor, malignant, fusiform cell type",alternate
8004,3,"Tumor, malignant, spindle cell type",alternate
8005,0,"Clear cell tumor, NOS",preferred
8005,0,"Tumor, clear cell, NOS",alternate
8005,3,"Malignant tumor, clear cell type",preferred
8005,3,Clear cell type malignant tumor,alternate
8005,3,"Tumor, clear cell type, malignant",alternate
8005,3,"Tumor, malignant, clear cell type",alternate
8010,0,"Epithelial tumor, benign",preferred
8010,0,"Tumor, epithelial, benign",alternate
8010,2,"Carcinoma in situ, NOS",preferred
8010,2,"Carcinoma, intraepithelial, NOS",alternate
8010,2,"In situ carcinoma, NOS",alternate
8010,2,"Intraepithelial carcinoma, NOS",alternate
8010,3,"Carcinoma, NOS",preferred
8010,3,"Carcinoma, urachal (C65.9, C66.9, C67._, C68._) [2018+]",alternate
8010,3,"Epithelial tumor, malignant",alternate
8010,3,"Tumor, epithelial, malignant",alternate
8010,3,"Urachal carcinoma (C65.9, C66.9, C67._, C68._) [2018+]",alternate
8010,6,"Carcinoma, NOS",preferred
8010,6,Secondary carcinoma,alternate
8010,6,"Carcinoma, NOS, metastatic",alternate
8010,6,"Carcinoma, secondary",alternate
8010,6,"Metastatic carcinoma, NOS",alternate
8010,9,Carcinomatosis,preferred
8011,0,"Epithelioma, benign",preferred
8011,2,"Epithelioma, in situ",preferred
8011,3,"Epithelioma, malignant",preferred
8011,3,"Epithelioma, NOS",alternate
8012,2,"Large cell carcinoma, in situ",preferred
8012,3,"Large cell carcinoma, NOS",preferred
8012,3,"Carcinoma, large cell, NOS",alternate
8013,3,Large cell neuroendocrine carcinoma,preferred
8013,3,"Carcinoma, combined large cell neuroendocrine (C34._, C37.9) [2018+]",alternate
8013,3,"Carcinoma, large cell neuroendocrine combined (C34._, C37.9) [2018+]",alternate
8013,3,"Carcinoma, large cell, neuroendocrine",alternate
8013,3,"Carcinoma, neuroendocrine, large cell",alternate
8013,3,"Carcinoma, neuroendocrine, large cell combined (C34._, C37.9) [2018+]",alternate
8013,3,"Combined large cell neuroendocrine carcinoma (C34._, C37.9) [2018+]",alternate
8013,3,"Large cell carcinoma, neuroendocrine",alternate
8013,3,"Large cell carcinoma, neuroendocrine combined (C34._, C37.9) [2018+]",alternate
8013,3,"Neuroendocrine carcinoma, combined large cell (C34._, C37.9) [2018+]",alternate
8013,3,"Neuroendocrine carcinoma, large cell",alternate
